time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,gender,number_of_children,point_score,average_point_score,elg_number,elg_percent,gld_number,gld_percent,comm_lang_lit_number,comm_lang_lit_percent
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Boys,1544,49169,31.8,877,56.8,917,59.4,923,59.8
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Total,3323,110343,33.2,2172,65.4,2240,67.4,2281,68.6
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Girls,1602,55342,34.5,1182,73.8,1202,75,1220,76.2
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,355,E08000006,Salford,Boys,1721,55001,32,990,57.5,1038,60.3,1061,61.7
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Total,2992,102080,34.1,2087,69.8,2119,70.8,2139,71.5
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Girls,1446,51131,35.4,1108,76.6,1117,77.2,1126,77.9
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,343,E08000014,Sefton,Boys,1546,50949,33,979,63.3,1002,64.8,1013,65.5
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Total,2109,71272,33.8,1426,67.6,1456,69,1473,69.8
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Girls,1016,35614,35.1,772,76,779,76.7,787,77.5
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,Boys,1093,35658,32.6,654,59.8,677,61.9,686,62.8
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Total,3597,125187,34.8,2463,68.5,2518,70,2545,70.8
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Girls,1738,62542,36,1313,75.5,1328,76.4,1339,77
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,356,E08000007,Stockport,Boys,1859,62645,33.7,1150,61.9,1190,64,1206,64.9
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Total,3024,97769,32.3,1914,63.3,1987,65.7,2006,66.3
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Girls,1489,49643,33.3,1054,70.8,1083,72.7,1093,73.4
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,Boys,1535,48126,31.4,860,56,904,58.9,913,59.5
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Total,2964,109661,37,2198,74.2,2232,75.3,2265,76.4
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Girls,1434,54868,38.3,1168,81.5,1179,82.2,1189,82.9
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,Boys,1530,54793,35.8,1030,67.3,1053,68.8,1076,70.3
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Total,2532,89212,35.2,1825,72.1,1844,72.8,1855,73.3
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Girls,1223,44843,36.7,958,78.3,964,78.8,970,79.3
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,Boys,1309,44369,33.9,867,66.2,880,67.2,885,67.6
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Total,3730,125157,33.6,2483,66.6,2560,68.6,2574,69
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Girls,1852,65132,35.2,1406,75.9,1430,77.2,1435,77.5
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,359,E08000010,Wigan,Boys,1878,60025,32,1077,57.3,1130,60.2,1139,60.6
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Total,3689,123005,33.3,2517,68.2,2599,70.5,2631,71.3
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Girls,1805,62290,34.5,1395,77.3,1420,78.7,1438,79.7
Academic Year,201718,Local Authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,Boys,1884,60715,32.2,1122,59.6,1179,62.6,1193,63.3
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Total,2883,98843,34.3,2000,69.4,2018,70,2024,70.2
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Girls,1410,50355,35.7,1091,77.4,1099,77.9,1102,78.2
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,370,E08000016,Barnsley,Boys,1473,48488,32.9,909,61.7,919,62.4,922,62.6
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Total,7694,257736,33.5,4983,64.8,5140,66.8,5173,67.2
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Girls,3888,134722,34.7,2791,71.8,2858,73.5,2879,74
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,380,E08000032,Bradford,Boys,3806,123014,32.3,2192,57.6,2282,60,2294,60.3
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Total,2664,91382,34.3,1838,69,1864,70,1882,70.6
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Girls,1298,45769,35.3,971,74.8,980,75.5,988,76.1
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,381,E08000033,Calderdale,Boys,1366,45613,33.4,867,63.5,884,64.7,894,65.4
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Total,3747,127819,34.1,2594,69.2,2643,70.5,2665,71.1
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Girls,1827,65252,35.7,1427,78.1,1440,78.8,1450,79.4
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,371,E08000017,Doncaster,Boys,1920,62567,32.6,1167,60.8,1203,62.7,1215,63.3
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Total,3469,123789,35.7,2515,72.5,2553,73.6,2584,74.5
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Girls,1696,62128,36.6,1310,77.2,1324,78.1,1338,78.9
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,811,E06000011,East Riding of Yorkshire,Boys,1773,61661,34.8,1205,68,1229,69.3,1246,70.3
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston Upon Hull City of,Total,3426,111376,32.5,2089,61,2259,65.9,2270,66.3
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston Upon Hull City of,Girls,1668,56205,33.7,1146,68.7,1211,72.6,1220,73.1
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,810,E06000010,Kingston Upon Hull City of,Boys,1758,55171,31.4,943,53.6,1048,59.6,1050,59.7
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Total,5397,185461,34.4,3650,67.6,3744,69.4,3789,70.2
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Girls,2626,93644,35.7,1970,75,2002,76.2,2022,77
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,382,E08000034,Kirklees,Boys,2771,91817,33.1,1680,60.6,1742,62.9,1767,63.8
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Total,10004,344452,34.4,6448,64.5,6572,65.7,6649,66.5
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Girls,4807,171874,35.8,3469,72.2,3514,73.1,3549,73.8
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,383,E08000035,Leeds,Boys,5197,172578,33.2,2979,57.3,3058,58.8,3100,59.6
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Total,1947,65878,33.8,1348,69.2,1363,70,1368,70.3
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Girls,999,35020,35.1,758,75.9,764,76.5,767,76.8
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,812,E06000012,North East Lincolnshire,Boys,948,30858,32.6,590,62.2,599,63.2,601,63.4
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Total,1972,66985,34,1359,68.9,1401,71,1415,71.8
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Girls,983,34653,35.3,765,77.8,780,79.3,787,80.1
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,813,E06000013,North Lincolnshire,Boys,989,32332,32.7,594,60.1,621,62.8,628,63.5
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Total,6010,210682,35.1,4284,71.3,4355,72.5,4413,73.4
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Girls,2928,106042,36.2,2310,78.9,2330,79.6,2359,80.6
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,815,E10000023,North Yorkshire,Boys,3082,104640,34,1974,64,2025,65.7,2054,66.6
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Total,3305,114412,34.6,2374,71.8,2416,73.1,2433,73.6
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Girls,1695,60886,35.9,1336,78.8,1350,79.6,1357,80.1
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,372,E08000018,Rotherham,Boys,1610,53526,33.2,1038,64.5,1066,66.2,1076,66.8
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Total,6327,217149,34.3,4422,69.9,4451,70.3,4490,71
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Girls,3075,108802,35.4,2364,76.9,2373,77.2,2391,77.8
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,373,E08000019,Sheffield,Boys,3252,108347,33.3,2058,63.3,2078,63.9,2099,64.5
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Total,4218,141801,33.6,2852,67.6,2910,69,2930,69.5
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Girls,2089,73698,35.3,1605,76.8,1623,77.7,1634,78.2
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,384,E08000036,Wakefield,Boys,2129,68103,32,1247,58.6,1287,60.5,1296,60.9
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Total,1974,70403,35.7,1461,74,1477,74.8,1495,75.7
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Girls,957,35369,37,779,81.4,785,82,796,83.2
Academic Year,201718,Local Authority,E92000001,England,E12000003,Yorkshire and the Humber,816,E06000014,York,Boys,1017,35034,34.4,682,67.1,692,68,699,68.7
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Total,3376,115088,34.1,2297,68,2348,69.5,2368,70.1
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Girls,1653,58616,35.5,1275,77.1,1284,77.7,1293,78.2
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,Boys,1723,56472,32.8,1022,59.3,1064,61.8,1075,62.4
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Total,8345,291527,34.9,5781,69.3,5911,70.8,5997,71.9
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Girls,4077,147812,36.3,3158,77.5,3197,78.4,3232,79.3
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,Boys,4268,143715,33.7,2623,61.5,2714,63.6,2765,64.8
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Total,4722,159592,33.8,3043,64.4,3137,66.4,3166,67
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Girls,2347,82960,35.3,1706,72.7,1747,74.4,1762,75.1
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,Boys,2375,76632,32.3,1337,56.3,1390,58.5,1404,59.1
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Total,7819,271563,34.7,5458,69.8,5535,70.8,5628,72
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Girls,3748,134272,35.8,2871,76.6,2897,77.3,2937,78.4
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,Boys,4071,137291,33.7,2587,63.5,2638,64.8,2691,66.1
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Total,7875,270517,34.4,5343,67.8,5440,69.1,5509,70
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Girls,3951,140068,35.5,2959,74.9,2994,75.8,3029,76.7
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,Boys,3924,130449,33.2,2384,60.8,2446,62.3,2480,63.2
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Total,9532,325941,34.2,6623,69.5,6793,71.3,6883,72.2
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Girls,4751,168264,35.4,3660,77,3722,78.3,3760,79.1
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,Boys,4781,157677,33,2963,62,3071,64.2,3123,65.3
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Total,3813,126059,33.1,2484,65.1,2576,67.6,2585,67.8
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Girls,1894,64556,34.1,1345,71,1382,73,1387,73.2
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,Boys,1919,61503,32,1139,59.4,1194,62.2,1198,62.4
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Total,9444,317505,33.6,6457,68.4,6582,69.7,6633,70.2
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Girls,4639,161183,34.7,3523,75.9,3564,76.8,3589,77.4
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,Boys,4805,156322,32.5,2934,61.1,3018,62.8,3044,63.4
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Total,404,14625,36.2,291,72,295,73,301,74.5
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Girls,182,6799,37.4,138,75.8,140,76.9,142,78
Academic Year,201718,Local Authority,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,Boys,222,7826,35.3,153,68.9,155,69.8,159,71.6
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Total,16150,536066,33.2,10643,65.9,10932,67.7,11060,68.5
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Girls,7783,268257,34.5,5702,73.3,5807,74.6,5857,75.3
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,330,E08000025,Birmingham,Boys,8367,267809,32,4941,59.1,5125,61.3,5203,62.2
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Total,4449,146255,32.9,2976,66.9,3014,67.7,3046,68.5
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Girls,2146,72953,34,1582,73.7,1594,74.3,1609,75
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,331,E08000026,Coventry,Boys,2303,73302,31.8,1394,60.5,1420,61.7,1437,62.4
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Total,4015,133276,33.2,2582,64.3,2676,66.7,2714,67.6
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Girls,1935,66825,34.5,1418,73.3,1457,75.3,1474,76.2
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,332,E08000027,Dudley,Boys,2080,66451,31.9,1164,56,1219,58.6,1240,59.6
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Total,1991,69563,34.9,1467,73.7,1475,74.1,1499,75.3
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Girls,961,34908,36.3,781,81.3,786,81.8,800,83.2
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,884,E06000019,Herefordshire,Boys,1030,34655,33.6,686,66.6,689,66.9,699,67.9
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Total,4996,161508,32.3,3175,63.6,3315,66.4,3334,66.7
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Girls,2406,81023,33.7,1727,71.8,1771,73.6,1778,73.9
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,333,E08000028,Sandwell,Boys,2590,80485,31.1,1448,55.9,1544,59.6,1556,60.1
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Total,2983,106311,35.6,2060,69.1,2084,69.9,2134,71.5
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Girls,1435,53162,37,1114,77.6,1121,78.1,1149,80.1
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,893,E06000051,Shropshire,Boys,1548,53149,34.3,946,61.1,963,62.2,985,63.6
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Total,2810,97381,34.7,1976,70.3,2044,72.7,2088,74.3
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Girls,1376,49377,35.9,1079,78.4,1100,79.9,1118,81.3
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,334,E08000029,Solihull,Boys,1434,48004,33.5,897,62.6,944,65.8,970,67.6
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Total,9532,339943,35.7,7009,73.5,7147,75,7216,75.7
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Girls,4615,172048,37.3,3782,82,3826,82.9,3853,83.5
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,860,E10000028,Staffordshire,Boys,4917,167895,34.1,3227,65.6,3321,67.5,3363,68.4
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Total,3332,110152,33.1,2140,64.2,2197,65.9,2210,66.3
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Girls,1605,56042,34.9,1177,73.3,1199,74.7,1205,75.1
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,861,E06000021,Stoke-on-Trent,Boys,1727,54110,31.3,963,55.8,998,57.8,1005,58.2
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Total,2345,79313,33.8,1632,69.6,1663,70.9,1676,71.5
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Girls,1108,38927,35.1,851,76.8,857,77.3,863,77.9
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,894,E06000020,Telford and Wrekin,Boys,1237,40386,32.6,781,63.1,806,65.2,813,65.7
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Total,3847,124484,32.4,2541,66.1,2619,68.1,2641,68.7
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Girls,1809,60642,33.5,1324,73.2,1358,75.1,1369,75.7
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,335,E08000030,Walsall,Boys,2038,63842,31.3,1217,59.7,1261,61.9,1272,62.4
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Total,6525,223227,34.2,4617,70.8,4721,72.4,4782,73.3
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Girls,3172,111716,35.2,2473,78,2501,78.8,2527,79.7
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,937,E10000031,Warwickshire,Boys,3353,111511,33.3,2144,63.9,2220,66.2,2255,67.3
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Total,3364,110927,33,2216,65.9,2312,68.7,2328,69.2
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Girls,1619,55459,34.3,1189,73.4,1225,75.7,1232,76.1
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,336,E08000031,Wolverhampton,Boys,1745,55468,31.8,1027,58.9,1087,62.3,1096,62.8
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Total,6465,223035,34.5,4528,70,4605,71.2,4673,72.3
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Girls,3117,111534,35.8,2447,78.5,2470,79.2,2499,80.2
Academic Year,201718,Local Authority,E92000001,England,E12000005,West Midlands,885,E10000034,Worcestershire,Boys,3348,111501,33.3,2081,62.2,2135,63.8,2174,64.9
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,Total,2277,75987,33.4,1535,67.4,1584,69.6,1596,70.1
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,Girls,1112,37992,34.2,809,72.8,831,74.7,838,75.4
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford Borough,Boys,1165,37995,32.6,726,62.3,753,64.6,758,65.1
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Total,7345,250465,34.1,5054,68.8,5228,71.2,5287,72
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Girls,3580,125993,35.2,2760,77.1,2815,78.6,2839,79.3
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Boys,3765,124472,33.1,2294,60.9,2413,64.1,2448,65
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Total,3658,126664,34.6,2648,72.4,2676,73.2,2722,74.4
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Girls,1810,64704,35.7,1440,79.6,1448,80,1475,81.5
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Boys,1848,61960,33.5,1208,65.4,1228,66.5,1247,67.5
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Total,17041,599372,35.2,12442,73,12571,73.8,12727,74.7
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Girls,8301,301819,36.4,6657,80.2,6693,80.6,6747,81.3
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Boys,8740,297553,34,5785,66.2,5878,67.3,5980,68.4
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Total,14399,508750,35.3,10308,71.6,10472,72.7,10584,73.5
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Girls,7047,256867,36.5,5505,78.1,5555,78.8,5600,79.5
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Boys,7352,251883,34.3,4803,65.3,4917,66.9,4984,67.8
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Total,3238,107242,33.1,2152,66.5,2231,68.9,2254,69.6
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Girls,1547,53425,34.5,1167,75.4,1189,76.9,1198,77.4
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Boys,1691,53817,31.8,985,58.2,1042,61.6,1056,62.4
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Total,9365,312303,33.3,6563,70.1,6701,71.6,6799,72.6
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Girls,4539,155148,34.2,3536,77.9,3594,79.2,3634,80.1
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Boys,4826,157155,32.6,3027,62.7,3107,64.4,3165,65.6
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Total,3139,106976,34.1,1992,63.5,2094,66.7,2104,67
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Girls,1514,53947,35.6,1088,71.9,1132,74.8,1135,75
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Boys,1625,53029,32.6,904,55.6,962,59.2,969,59.6
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Total,2176,77679,35.7,1589,73,1609,73.9,1629,74.9
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Girls,1046,38566,36.9,838,80.1,843,80.6,850,81.3
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Boys,1130,39113,34.6,751,66.5,766,67.8,779,68.9
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Total,8025,275094,34.3,5634,70.2,5735,71.5,5808,72.4
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Girls,3969,139996,35.3,3072,77.4,3104,78.2,3140,79.1
Academic Year,201718,Local Authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Boys,4056,135098,33.3,2562,63.2,2631,64.9,2668,65.8
